evol,step,not_dead,tot
17,30,800072,1600144
17,31,1279923,2559846
17,32,2047700,4095400
17,33,3276977,6553954
17,34,5243040,10486080
17,35,8387884,16775768
17,36,13420950,26841900
17,37,21473919,42947838
17,38,34357697,68715394
17,39,54967253,109934506
17,40,87950646,175901292
17,41,140724680,281449360
17,42,225159478,450318956
17,43,360270300,720540600
17,44,720540600,1000000000
17,45,720540600,1000000000
17,46,720540600,1000000000
17,47,720540600,1000000000
17,48,720540600,1000000000
17,49,720540600,1000000000
17,50,720540600,1000000000
17,51,720540600,1000000000
17,52,720540600,1000000000
17,53,720540600,1000000000
17,54,720540600,1000000000
17,55,720540600,1000000000
17,56,720540600,1000000000
17,57,720540600,1000000000
17,58,720540600,1000000000
17,59,720540600,1000000000
17,60,720540600,1000000000
18,1,1,2
18,2,1,2
18,3,2,4
18,4,4,8
18,5,4,8
18,6,5,10
18,7,8,16
18,8,15,30
18,9,22,44
18,10,35,70
18,11,53,106
18,12,92,184
18,13,149,298
18,14,229,458
18,15,379,758
18,16,596,1192
18,17,965,1930
18,18,1538,3076
18,19,2483,4966
18,20,3950,7900
18,21,6255,12510
18,22,9954,19908
18,23,15975,31950
18,24,25531,51062
18,25,40709,81418
18,26,65142,130284
18,27,104154,208308
18,28,166797,333594
18,29,266953,533906
18,30,426966,853932
18,31,683544,1367088
18,32,1093589,2187178
18,33,1749595,3499190
18,34,2800369,5600738
18,35,4479849,8959698
18,36,7168953,14337906
18,37,11470837,22941674
18,38,18356301,36712602
18,39,29373213,58746426
18,40,46994223,93988446
18,41,75186234,150372468
18,42,120291938,240583876
18,43,192476854,384953708
18,44,307961756,615923512
18,45,615923512,1000000000
18,46,615923512,1000000000
18,47,615923512,1000000000
18,48,615923512,1000000000
18,49,615923512,1000000000
18,50,615923512,1000000000
18,51,615923512,1000000000
18,52,615923512,1000000000
18,53,615923512,1000000000
18,54,615923512,1000000000
18,55,615923512,1000000000
18,56,615923512,1000000000
18,57,615923512,1000000000
18,58,615923512,1000000000
18,59,615923512,1000000000
18,60,615923512,1000000000
19,1,0,0
19,2,0,0
19,3,0,0
19,4,0,0
19,5,0,0
19,6,0,0
19,7,0,0
19,8,0,0
19,9,0,0
19,10,0,0
19,11,0,0
19,12,0,0
19,13,0,0
19,14,0,0
19,15,0,0
19,16,0,0
19,17,0,0
19,18,0,0
19,19,0,0
19,20,0,0
19,21,0,0
19,22,0,0
19,23,0,0
19,24,0,0
19,25,0,0
19,26,0,0
19,27,0,0
19,28,0,0
19,29,0,0
19,30,0,0
19,31,0,0
19,32,0,0
19,33,0,0
19,34,0,0
19,35,0,0
19,36,0,0
19,37,0,0
19,38,0,0
19,39,0,0
19,40,0,0
19,41,0,0
19,42,0,0
19,43,0,0
19,44,0,0
19,45,0,0
19,46,0,0
19,47,0,0
19,48,0,0
19,49,0,0
19,50,0,0
19,51,0,0
19,52,0,0
19,53,0,0
19,54,0,0
19,55,0,0
19,56,0,0
19,57,0,0
19,58,0,0
19,59,0,0
19,60,0,0
20,1,1,2
20,2,2,4
20,3,3,6
20,4,5,10
20,5,9,18
20,6,15,30
20,7,25,50
20,8,44,88
20,9,70,140
20,10,109,218
20,11,180,360
20,12,288,576
20,13,482,964
20,14,770,1540
20,15,1248,2496
20,16,1961,3922
20,17,3147,6294
20,18,5040,10080
20,19,8091,16182
20,20,12912,25824
20,21,20648,41296
20,22,33093,66186
20,23,52827,105654
20,24,84299,168598
20,25,135001,270002
20,26,216024,432048
20,27,345664,691328
20,28,553237,1106474
20,29,885467,1770934
20,30,1417049,2834098
20,31,2266836,4533672
20,32,3628448,7256896
20,33,5805804,11611608
20,34,9287439,18574878
20,35,14859621,29719242
20,36,23775588,47551176
20,37,38042570,76085140
20,38,60857816,121715632
20,39,97371054,194742108
20,40,155799484,311598968
20,41,249276887,498553774
20,42,398829560,797659120
20,43,797659120,1000000000
20,44,797659120,1000000000
20,45,797659120,1000000000
20,46,797659120,1000000000
20,47,797659120,1000000000
20,48,797659120,1000000000
20,49,797659120,1000000000
20,50,797659120,1000000000
20,51,797659120,1000000000
20,52,797659120,1000000000
20,53,797659120,1000000000
20,54,797659120,1000000000
20,55,797659120,1000000000
20,56,797659120,1000000000
20,57,797659120,1000000000
20,58,797659120,1000000000
20,59,797659120,1000000000
20,60,797659120,1000000000
21,1,1,2
21,2,2,4
21,3,2,4
21,4,4,8
21,5,6,12
21,6,12,24
21,7,19,38
21,8,31,62
21,9,58,116
21,10,92,184
21,11,152,304
21,12,238,476
21,13,381,762
21,14,621,1242
21,15,984,1968
21,16,1561,3122
21,17,2485,4970
21,18,3982,7964
21,19,6396,12792
21,20,10267,20534
21,21,16272,32544
21,22,26118,52236
21,23,41756,83512
21,24,66926,133852
21,25,106883,213766
21,26,171594,343188
21,27,274653,549306
21,28,439839,879678
21,29,703395,1406790
21,30,1125222,2250444
21,31,1800038,3600076
21,32,2880050,5760100
21,33,4607286,9214572
21,34,7369331,14738662
21,35,11791598,23583196
21,36,18867593,37735186
21,37,30186107,60372214
21,38,48301117,96602234
21,39,77276831,154553662
21,40,123643380,247286760
21,41,197834434,395668868
21,42,316537854,633075708
21,43,633075708,1000000000
21,44,633075708,1000000000
21,45,633075708,1000000000
21,46,633075708,1000000000
21,47,633075708,1000000000
21,48,633075708,1000000000
21,49,633075708,1000000000
21,50,633075708,1000000000
21,51,633075708,1000000000
21,52,633075708,1000000000
21,53,633075708,1000000000
21,54,633075708,1000000000
21,55,633075708,1000000000
21,56,633075708,1000000000
21,57,633075708,1000000000
21,58,633075708,1000000000
21,59,633075708,1000000000
21,60,633075708,1000000000
22,1,0,0
22,2,0,0
22,3,0,0
22,4,0,0
22,5,0,0
22,6,0,0
22,7,0,0
22,8,0,0
22,9,0,0
22,10,0,0
22,11,0,0
22,12,0,0
22,13,0,0
22,14,0,0
22,15,0,0
22,16,0,0
22,17,0,0
22,18,0,0
22,19,0,0
22,20,0,0
22,21,0,0
22,22,0,0
22,23,0,0
22,24,0,0
22,25,0,0
22,26,0,0
22,27,0,0
22,28,0,0
22,29,0,0
22,30,0,0
22,31,0,0
22,32,0,0
22,33,0,0
22,34,0,0
22,35,0,0
22,36,0,0
22,37,0,0
22,38,0,0
22,39,0,0
22,40,0,0
22,41,0,0
22,42,0,0
22,43,0,0
22,44,0,0
22,45,0,0
22,46,0,0
22,47,0,0
22,48,0,0
22,49,0,0
22,50,0,0
22,51,0,0
22,52,0,0
22,53,0,0
22,54,0,0
22,55,0,0
22,56,0,0
22,57,0,0
22,58,0,0
22,59,0,0
22,60,0,0
23,1,1,2
23,2,2,4
23,3,2,4
23,4,4,8
23,5,6,12
23,6,9,18
23,7,16,32
23,8,20,40
23,9,28,56
23,10,45,90
23,11,76,152
23,12,123,246
23,13,196,392
23,14,307,614
23,15,488,976
23,16,811,1622
23,17,1285,2570
23,18,2056,4112
23,19,3324,6648
23,20,5369,10738
23,21,8629,17258
23,22,13834,27668
23,23,22128,44256
23,24,35328,70656
23,25,56560,113120
23,26,90437,180874
23,27,144850,289700
23,28,231596,463192
23,29,370119,740238
23,30,592493,1184986
23,31,947957,1895914
23,32,1517782,3035564
23,33,2428535,4857070
23,34,3886024,7772048
23,35,6217484,12434968
23,36,9946379,19892758
23,37,15913138,31826276
23,38,25461090,50922180
23,39,40732519,81465038
23,40,65171400,130342800
23,41,104270941,208541882
23,42,166831723,333663446
23,43,266916815,533833630
23,44,533833630,1000000000
23,45,533833630,1000000000
23,46,533833630,1000000000
23,47,533833630,1000000000
23,48,533833630,1000000000
23,49,533833630,1000000000
23,50,533833630,1000000000
23,51,533833630,1000000000
23,52,533833630,1000000000
